Date,Price,,,,,
28/12/2001,"10,136.99",,,,,
31/12/2001,"10,021.50",,,,,
02/01/2002,"10,073.40",,,,,
03/01/2002,"10,172.14",,,,,
04/01/2002,"10,259.74",,,,,
07/01/2002,"10,197.05",,,,,
08/01/2002,"10,150.55",,,,,
09/01/2002,"10,094.09",,,,,
10/01/2002,"10,067.86",,,,,
11/01/2002,"9,987.53",,,,,
14/01/2002,"9,891.42",,,,,
15/01/2002,"9,924.15",,,,,
16/01/2002,"9,712.27",,,,,
17/01/2002,"9,850.04",,,,,
18/01/2002,"9,771.85",,,,,
22/01/2002,"9,713.80",,,,,
23/01/2002,"9,730.96",,,,,
24/01/2002,"9,796.07",,,,,
25/01/2002,"9,840.08",,,,,
28/01/2002,"9,865.75",,,,,
29/01/2002,"9,618.24",,,,,
30/01/2002,"9,762.86",,,,,
31/01/2002,"9,920.00",,,,,
01/02/2002,"9,907.26",,,,,
04/02/2002,"9,687.09",,,,,
05/02/2002,"9,685.43",,,,,
06/02/2002,"9,653.39",,,,,
07/02/2002,"9,625.44",,,,,
08/02/2002,"9,744.24",,,,,
11/02/2002,"9,884.78",,,,,
12/02/2002,"9,863.74",,,,,
13/02/2002,"9,989.67",,,,,
14/02/2002,"10,001.99",,,,,
15/02/2002,"9,903.04",,,,,
19/02/2002,"9,745.14",,,,,
20/02/2002,"9,941.17",,,,,
21/02/2002,"9,834.68",,,,,
22/02/2002,"9,968.15",,,,,
25/02/2002,"10,145.71",,,,,
26/02/2002,"10,115.26",,,,,
27/02/2002,"10,127.58",,,,,
28/02/2002,"10,106.13",,,,,
01/03/2002,"10,368.86",,,,,
04/03/2002,"10,586.82",,,,,
05/03/2002,"10,433.41",,,,,
06/03/2002,"10,574.29",,,,,
07/03/2002,"10,525.37",,,,,
08/03/2002,"10,572.49",,,,,
11/03/2002,"10,611.24",,,,,
12/03/2002,"10,632.35",,,,,
13/03/2002,"10,501.85",,,,,
14/03/2002,"10,517.14",,,,,
15/03/2002,"10,607.23",,,,,
18/03/2002,"10,577.75",,,,,
19/03/2002,"10,635.25",,,,,
20/03/2002,"10,501.57",,,,,
21/03/2002,"10,479.84",,,,,
22/03/2002,"10,427.67",,,,,
25/03/2002,"10,281.67",,,,,
26/03/2002,"10,353.36",,,,,
27/03/2002,"10,426.91",,,,,
28/03/2002,"10,403.94",,,,,
01/04/2002,"10,362.70",,,,,
02/04/2002,"10,313.71",,,,,
03/04/2002,"10,198.29",,,,,
04/04/2002,"10,235.17",,,,,
05/04/2002,"10,271.64",,,,,
08/04/2002,"10,249.08",,,,,
09/04/2002,"10,208.67",,,,,
10/04/2002,"10,381.73",,,,,
11/04/2002,"10,176.08",,,,,
12/04/2002,"10,190.82",,,,,
15/04/2002,"10,093.67",,,,,
16/04/2002,"10,301.32",,,,,
17/04/2002,"10,220.78",,,,,
18/04/2002,"10,205.28",,,,,
19/04/2002,"10,257.11",,,,,
22/04/2002,"10,136.43",,,,,
23/04/2002,"10,089.24",,,,,
24/04/2002,"10,030.43",,,,,
25/04/2002,"10,035.06",,,,,
26/04/2002,"9,910.72",,,,,
29/04/2002,"9,819.87",,,,,
30/04/2002,"9,946.22",,,,,
01/05/2002,"10,059.63",,,,,
02/05/2002,"10,091.87",,,,,
03/05/2002,"10,006.63",,,,,
06/05/2002,"9,808.04",,,,,
07/05/2002,"9,836.55",,,,,
08/05/2002,"10,141.83",,,,,
09/05/2002,"10,037.42",,,,,
10/05/2002,"9,939.92",,,,,
13/05/2002,"10,109.66",,,,,
14/05/2002,"10,298.14",,,,,
15/05/2002,"10,243.68",,,,,
16/05/2002,"10,289.21",,,,,
17/05/2002,"10,353.08",,,,,
20/05/2002,"10,229.50",,,,,
21/05/2002,"10,105.71",,,,,
22/05/2002,"10,157.88",,,,,
23/05/2002,"10,216.08",,,,,
24/05/2002,"10,104.26",,,,,
28/05/2002,"9,981.58",,,,,
29/05/2002,"9,923.04",,,,,
30/05/2002,"9,911.69",,,,,
31/05/2002,"9,925.25",,,,,
03/06/2002,"9,709.79",,,,,
04/06/2002,"9,687.84",,,,,
05/06/2002,"9,796.80",,,,,
06/06/2002,"9,624.64",,,,,
07/06/2002,"9,589.67",,,,,
10/06/2002,"9,645.40",,,,,
11/06/2002,"9,517.26",,,,,
12/06/2002,"9,617.71",,,,,
13/06/2002,"9,502.80",,,,,
14/06/2002,"9,474.21",,,,,
17/06/2002,"9,687.42",,,,,
18/06/2002,"9,706.12",,,,,
19/06/2002,"9,561.57",,,,,
20/06/2002,"9,431.77",,,,,
21/06/2002,"9,253.79",,,,,
24/06/2002,"9,281.82",,,,,
25/06/2002,"9,126.82",,,,,
26/06/2002,"9,120.11",,,,,
27/06/2002,"9,269.92",,,,,
28/06/2002,"9,243.26",,,,,
01/07/2002,"9,109.79",,,,,
02/07/2002,"9,007.75",,,,,
03/07/2002,"9,054.97",,,,,
05/07/2002,"9,379.50",,,,,
08/07/2002,"9,274.90",,,,,
09/07/2002,"9,096.09",,,,,
10/07/2002,"8,813.50",,,,,
11/07/2002,"8,801.53",,,,,
12/07/2002,"8,684.53",,,,,
15/07/2002,"8,639.19",,,,,
16/07/2002,"8,473.11",,,,,
17/07/2002,"8,542.48",,,,,
18/07/2002,"8,409.49",,,,,
19/07/2002,"8,019.26",,,,,
22/07/2002,"7,784.58",,,,,
23/07/2002,"7,702.34",,,,,
24/07/2002,"8,191.29",,,,,
25/07/2002,"8,186.31",,,,,
